RA,DEC,z,e_z,f_z,class_spec,original_class_spec,source,ID,CLASS_STAR,SEX_FLAGS_DET,RA,DEC,g_petro,i_petro,r_petro,u_petro,z_petro,J0378_petro,J0395_petro,J0410_petro,J0430_petro,J0515_petro,J0660_petro,J0861_petro,e_g_petro,e_i_petro,e_r_petro,e_u_petro,e_z_petro,e_J0378_petro,e_J0395_petro,e_J0410_petro,e_J0430_petro,e_J0515_petro,e_J0660_petro,e_J0861_petro,u_petro_ext,J0378_petro_ext,J0395_petro_ext,J0410_petro_ext,J0430_petro_ext,g_petro_ext,J0515_petro_ext,r_petro_ext,J0660_petro_ext,i_petro_ext,J0861_petro_ext,z_petro_ext
150.60875,-24.5545,0.064228,0.00015,KEEP(SLS ),GALAXY,G,EXTERNAL_NED_20096dF...C...0000J,DR4_3_HYDRA-0011_0003319,0.029049283,3.0,150.6087519090519,-24.55455455568369,16.44613193167396,15.254450158823174,15.63285095029876,18.381060600006112,15.019889800165991,17.299207079592048,17.760353667595485,17.50378139277256,16.975229025929796,16.069416660919437,15.549626973418562,15.06890226998662,0.016193112,0.0074130404,0.007887606,0.16550802,0.010846448,0.10726156,0.26184303,0.16975848,0.09758192,0.03250413,0.012631381,0.020231346,0.265933399993888,0.2568459204079503,0.2491223324045128,0.2409186072274432,0.2291799740702024,0.2015960683260416,0.182342339080564,0.1453460497012396,0.1360640265814386,0.1080878411768268,0.0870127300133808,0.0830726998340081
151.38641666666663,-24.288,0.1535,5e-05,KEEP(4),GALAXY,G,VizieR_J/MNRAS/401/1151/catalog,DR4_3_HYDRA-0011_0015558,0.6918084,2.0,151.386463205336,-24.28791323866217,16.7477189455103,15.89577156315984,16.258131372422906,17.13149543856982,15.812757410692244,16.981039960730815,17.308083397792757,17.000362943354613,17.131162287491335,16.70214772111736,16.15217418503376,15.789185264219634,0.020438658,0.012516847,0.013265231,0.052435797,0.021482093,0.07807386,0.16826603,0.10247817,0.10760212,0.055909306,0.021016654,0.03774006,0.2614865614301785,0.2525510392691848,0.2449566022072412,0.2368900566453847,0.2253477125086657,0.1982250544897012,0.1792932788826382,0.1429156275770944,0.1337888149662378,0.106280436840161,0.0855577357803659,0.0816835893077567
149.9855,-24.26644444444,0.045888,8.3e-05,KEEP(SLS ),GALAXY,G,EXTERNAL_NED_20096dF...C...0000J,DR4_3_HYDRA-0011_0016661,0.02735886,3.0,149.9855429706701,-24.26646055927982,16.269567611182346,15.332752750186952,15.682795172072046,17.230941521669575,15.192004896199707,16.891627970983752,16.850196772672152,16.897499314312384,16.300369375485136,16.017049114977105,15.614812840255128,15.155828683285051,0.014866535,0.008571325,0.008777526,0.0624791,0.013316212,0.07983657,0.11991489,0.105152264,0.05675247,0.03328714,0.014164174,0.023417963,0.2695904783304257,0.260378029016247,0.2525482273278479,0.2442316856876163,0.2323316245148614,0.2043683888176508,0.1848498850228958,0.1473448279279534,0.1379351597448717,0.1095742498130492,0.0882093167149469,0.084215103800293
151.43483333333,-23.88327777778,0.053057,0.00015,KEEP(SLS ),GALAXY,G,EXTERNAL_NED_20096dF...C...0000J,DR4_3_HYDRA-0011_0035971,0.028978618,2.0,151.43485095722403,-23.883314916856325,15.547536417231216,14.235747692272115,14.679512991059411,17.5428517991413,13.974412242730535,16.923096953893925,17.084313288861964,16.829537943537353,16.273904470782416,15.289146403775865,14.55075777278117,14.05121343663365,0.01083259,0.0042980285,0.005014028,0.12571631,0.006174546,0.12248663,0.22552034,0.14124249,0.07884673,0.024243282,0.0076543754,0.011937973,0.3097902008587006,0.2992040461060758,0.2902067111380358,0.2806500564626458,0.2669755292175844,0.234842582768784,0.2124135962241355,0.1693160089405865,0.1585032272188309,0.1259133077278825,0.1013625633663491,0.0967727572694644
152.50891666667,-24.32847222222,0.0319049992,4.3e-05,KEEP(    ),GALAXY,G,EXTERNAL_NED_2003A&A...412...57P,DR4_3_HYDRA-0012_0015937,0.02863051,3.0,152.50884025306902,-24.32849482351578,14.110796833124256,13.12944622738954,13.45626207982505,15.584565653679697,12.882637604564565,15.133807365547858,15.085764446727923,14.762353748283331,14.436256602198346,13.86331125547476,13.352889497264515,12.971754642277348,0.0041744863,0.0027071456,0.0025116447,0.020783342,0.004092849,0.023689233,0.03564064,0.023688918,0.016626596,0.007845508,0.0027201795,0.0051860255,0.2155773463203057,0.2082106344521409,0.201949553272076,0.19529925171667,0.1857833978016534,0.1634226668757438,0.1478147445252413,0.1178239201749485,0.1102995027354828,0.0876207726104601,0.0705363577226515,0.0673423954354374
152.17591666667,-24.24608333333,0.031569,8.3e-05,KEEP(SLS ),GALAXY,G,EXTERNAL_NED_20096dF...C...0000J,DR4_3_HYDRA-0012_0019006,0.027573813,2.0,152.17605922434092,-24.24601703010824,16.473449262492267,15.530322615709894,15.829299268522698,17.768231803072183,15.274598891866924,17.51597594694529,17.0897072068291,16.881556665994346,16.796822733995455,16.37240442466115,15.77791304240274,15.355452013480308,0.013676606,0.008923619,0.008128679,0.060035467,0.013221274,0.08245293,0.08703259,0.06418886,0.05575641,0.029487625,0.009231365,0.016754929,0.3152621969278178,0.304489053054708,0.2953327931708987,0.2856073340056549,0.2716912660045444,0.2389907375077334,0.2161655753388514,0.1723067314773012,0.1613029575972602,0.1281373842901066,0.1031529865196924,0.0984821081330757
152.6685,-24.10627777778,0.14461,0.00015,KEEP(SLS ),GALAXY,G,EXTERNAL_NED_20096dF...C...0000J,DR4_3_HYDRA-0012_0024916,0.019927518,0.0,152.66869028828887,-24.10622443493572,18.376393770854108,17.136977727696344,17.553500193196815,19.98666782290923,16.86503526489378,19.453527979417792,19.289542977864453,18.727052050053985,18.913465361983143,18.0709736312638,17.406410392826636,16.86945367593849,0.043438967,0.02195744,0.02205485,0.26141304,0.032590535,0.27406254,0.37327054,0.19372083,0.21710831,0.07882578,0.023071723,0.038566824,0.2365431770907712,0.2284600205822069,0.221590022135546,0.2142929499460121,0.2038516380168575,0.1793162291458916,0.1621903687361972,0.1292828068031866,0.1210266071733613,0.0961422723036554,0.0773963240615118,0.0738917351062179
151.53304166667,-24.055972222220007,0.082934,0.00015,KEEP(SLS ),GALAXY,G,EXTERNAL_NED_20096dF...C...0000J,DR4_3_HYDRA-0012_0027755,0.028640792,2.0,151.53299764513235,-24.05595114726848,16.433487786028323,15.246296051850184,15.634779680042971,17.653295325710857,14.707458438002323,17.475572081605087,98.71301163748632,16.219998310303808,17.948776189105676,16.127897038497494,15.493183549647451,14.982945532162296,0.017801093,0.009245921,0.008989715,0.08234328,0.0103799,0.12121579,99.0,0.05465912,0.24936299,0.03585629,0.010094994,0.016787598,0.3063546742891438,0.2958859183949118,0.2869883625136609,0.277537689696194,0.2640148108943252,0.2322382139716783,0.2100579615025066,0.1674383199570282,0.1567454503525472,0.1245169481498169,0.1002384678377035,0.0956995619976741
151.903625,-23.98205555556,0.143759,0.000103,KEEP(SLS ),GALAXY,G,EXTERNAL_NED_20096dF...C...0000J,DR4_3_HYDRA-0012_0031668,0.028499523,3.0,151.90362726420793,-23.981943979548163,16.845590429341456,15.288156001671013,15.73553197974084,18.521482557784765,14.937282986421335,17.670001037124887,18.32579363102624,17.347508128788704,18.042129422705287,16.26815184549086,15.517086374571766,14.95039532621788,0.02850187,0.010655081,0.01094104,0.18892765,0.014499992,0.14725323,0.4209213,0.14841476,0.26339418,0.039617788,0.01057606,0.017012935,0.315652442215234,0.3048659628751126,0.2956983689737622,0.2859608712112994,0.2720275772947137,0.2392865706585436,0.216433154509141,0.1725200202591608,0.161502625428234,0.128295998328987,0.1032806737821187,0.0986040135786644
152.63841666667,-23.97963888889,0.031712,0.000103,KEEP(SLS ),GALAXY,G,EXTERNAL_NED_20096dF...C...0000J,DR4_3_HYDRA-0012_0032074,0.018796531,2.0,152.63828615310345,-23.979493904832232,15.40650799083646,14.87513179996805,15.002830800811978,16.39207623222561,14.702704109219647,15.95874916912574,15.916884822146994,15.59571820481259,15.502419698508238,15.220223770346252,14.99873463319016,14.790895720063949,0.0076301536,0.007082635,0.0056063994,0.02608031,0.011414903,0.029855862,0.04501582,0.029031202,0.025123537,0.015186791,0.006621258,0.014602176,0.2568457677743914,0.2480688308742581,0.2406091778530069,0.2326857951874111,0.2213483014917612,0.1947070091635382,0.1761112296537489,0.1403791991880213,0.1314143668098404,0.1043942000319501,0.0840392799360527,0.0802338907803523
